"","c1","c2","c1","c2","c1","c2","c1","c2"
"1","1.00000","1.00000","0.93668","0.94634","0.04787","0.04787","0.50000","0.50000"
"2","0.97892","0.81671","0.04787","0.16270","0.73754","0.44743","0.91775","0.89989"
"3","0.43699","0.56301","0.31691","0.45790","0.92576","0.70175","0.86826","0.70175"
