"","c1","c2","c1","c2","c1","c2","c1","c2"
"1","0.01125","0.01125","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"2","1.00000","1.00000","0.99899","0.99899","0.00441","0.00441","0.00113","0.00113"
"3","0.88493","1.00000","0.90459","0.89989","0.00154","0.00154","0.05366","0.05366"
