"","c1","c2","c1","c2","c1","c2","c1","c2"
"1","0.90914","0.88482","0.48946","0.74615","0.59403","0.37550","0.71991","0.08225"
"2","0.14361","0.12605","0.71991","0.60426","0.53160","0.53160","0.24539","0.52108"
"3","0.72880","0.80951","0.45790","0.69248","0.08225","0.16270","0.46840","0.50000"
