"","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1"
"1","1.00000","0.00000","0.00012","0.00000","1.00000","0.00001","0.01033","1.00000","0.00007","0.00236","0.00032","0.00009","0.00011","0.96486","0.59011","0.50000","0.50000","0.07539","0.00949","0.02959","0.05864","0.86405","0.01539","0.22857","0.00002","0.33787","0.00002","0.00001"
"2","0.00000","0.00000","0.40597","0.00000","0.00000","0.00000","0.18555","1.00000","1.00000","0.00000","0.01802","0.00000","0.00000","0.76388","0.81300","1.00000","0.00000","0.00000","0.00001","0.00005","0.00000","0.34817","0.05232","0.00003","0.53647","0.00000","0.00110","0.00000"
"3","0.00000","0.00000","0.14981","0.00000","0.00000","0.00000","0.00083","1.00000","1.00000","0.00000","0.00000","0.00000","0.00000","0.33926","0.96330","0.50000","0.00000","0.00000","0.00000","0.00000","0.00000","0.57471","0.94076","0.00000","0.79520","0.96446","0.18231","0.00000"
