"","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1"
"1","1.00000","0.00000","0.00046","0.00000","0.00031","0.00001","0.00247","1.00000","0.00011","0.00083","0.05017","0.00024","0.01043","0.98963","0.03984","1.00000","1.00000","0.00083","1.00000","0.97725","0.12305","0.25392","0.24128","0.11751","0.00001","0.64532","0.00001","0.00001"
"2","0.00000","0.00000","0.60426","0.00000","0.00000","0.00000","0.18555","1.00000","1.00000","0.00000","0.00083","0.00001","0.00000","0.40344","0.30069","1.00000","0.00000","0.00000","0.00001","0.00296","0.00000","0.94043","0.00902","0.00003","0.51393","0.00000","0.00504","0.00000"
"3","0.00000","0.00000","0.99474","0.00000","0.00000","0.00000","0.00024","1.00000","1.00000","0.00000","0.00000","0.00000","0.00000","0.42632","0.86214","1.00000","0.00000","0.00000","0.00000","0.00001","0.00000","0.01513","0.73647","0.00000","0.59654","0.27353","0.51391","0.00000"
