"","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1"
"1","1.00000","0.04876","0.00134","1.00000","1.00000","1.00000","0.07446","1.00000","0.00995","1.00000","0.50000","1.00000","1.00000","0.07399","0.76927","1.00000","0.09072","1.00000","1.00000","0.50000","0.99997","0.71462","0.50000","0.05054","0.00408","0.24314","0.04492","1.00000"
"2","0.00000","0.00000","0.00036","0.00000","0.00000","0.00000","0.01802","1.00000","0.97725","0.00000","1.00000","0.01827","0.07892","0.81067","0.70835","1.00000","1.00000","0.00005","1.00000","0.00713","0.00000","0.26802","0.51824","0.00001","0.04838","0.00000","0.00002","0.00000"
"3","0.00000","0.00000","0.96869","0.00000","0.00000","0.00000","0.05017","1.00000","1.00000","0.00000","0.15289","0.00083","0.00007","0.13436","0.06767","1.00000","0.00005","0.00000","0.00000","0.00007","0.00000","0.03913","0.02471","0.00000","0.97594","0.00000","0.12311","0.00000"
