"","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1"
"1","1.00000","0.70642","0.33506","0.82433","1.00000","1.00000","1.00000","0.50000","1.00000","1.00000","1.00000","1.00000","1.00000","0.09072","0.93189","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","0.06375","0.73038","0.71559","0.82836","0.00091","0.78460","0.50000"
"2","1.00000","0.00000","0.18406","0.00002","1.00000","0.00003","0.00164","1.00000","1.00000","1.00000","1.00000","1.00000","0.13815","0.94308","0.05589","1.00000","1.00000","1.00000","0.02895","0.50000","0.07446","0.40378","0.03518","0.66621","0.49350","0.30741","0.77815","1.00000"
"3","1.00000","0.00000","0.00028","0.00000","1.00000","0.00007","0.00001","1.00000","0.18555","1.00000","1.00000","1.00000","0.50570","0.66371","0.00213","1.00000","1.00000","0.00001","0.00001","0.00332","0.99693","0.66977","0.00008","0.48286","0.42567","0.15612","0.54260","1.00000"
