"","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1"
"1","0.50000","0.00000","0.00623","0.00000","0.00001","0.00001","0.09072","1.00000","0.00296","0.00000","1.00000","0.18555","0.18555","0.60725","0.39093","1.00000","0.02953","0.00083","1.00000","1.00000","0.05864","0.62596","0.73095","0.20779","0.00002","0.00007","0.00000","0.00000"
"2","0.00000","0.00000","0.87395","0.00000","0.00000","0.00000","0.18555","1.00000","1.00000","0.00000","0.00002","0.00000","0.00000","0.61436","0.54832","1.00000","0.00000","0.00000","0.00001","0.00713","0.00000","0.04142","0.74404","0.00007","0.10641","0.00000","0.19685","0.00000"
"3","0.00000","0.00000","0.38558","0.00000","0.00000","0.00000","0.00016","1.00000","1.00000","0.00000","0.00000","0.00000","0.00000","0.65180","0.08921","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.10295","0.15308","0.00000","0.35144","0.59635","0.57596","0.00000"
