"","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1"
"1","1.00000","0.00000","0.00030","0.00000","1.00000","0.00001","0.00259","1.00000","0.00036","0.00713","0.00424","0.00002","0.00016","0.34211","0.00011","0.00016","0.96318","0.02201","0.01125","0.50000","0.02603","0.84519","0.00051","0.01787","0.00003","0.29156","0.00002","0.00001"
"2","0.00000","0.00000","0.72880","0.00000","0.00000","0.00000","0.02953","1.00000","1.00000","0.00000","0.01125","0.00000","0.00001","0.39802","0.99625","1.00000","0.00000","0.00000","0.00001","0.00011","0.00005","0.24045","0.37812","0.00006","0.43740","0.00000","0.01209","0.00000"
"3","0.00000","0.00000","0.60426","0.00000","0.00000","0.00000","0.00011","1.00000","1.00000","0.00000","0.00000","0.00000","0.00000","0.36319","0.17313","1.00000","0.00000","0.00000","0.00000","0.00001","0.00000","0.75794","0.21360","0.00000","0.93755","0.39173","0.20824","0.00000"
