"","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1"
"1","1.00000","1.00000","0.00038","1.00000","1.00000","1.00000","0.09072","1.00000","0.00593","1.00000","0.18555","1.00000","1.00000","0.71726","0.96932","1.00000","0.18555","1.00000","1.00000","0.50000","0.99999","0.21134","0.86591","0.00354","0.00888","0.01375","0.10055","1.00000"
"2","0.00000","0.00000","0.63451","0.00000","0.00000","0.00001","0.50000","1.00000","0.18555","0.00000","1.00000","0.39975","0.00068","0.07430","0.10101","1.00000","0.97725","0.00011","1.00000","0.00713","0.00000","0.69236","0.93740","0.00000","0.02498","0.00000","0.00000","0.00000"
"3","0.00000","0.00000","0.16939","0.00000","0.00001","0.00000","0.09072","1.00000","1.00000","0.00000","0.39756","0.00163","0.00003","0.34021","0.67635","1.00000","0.00002","0.00000","0.00005","0.00005","0.00000","0.54244","0.62879","0.00001","0.56484","0.00002","0.00005","0.00000"
