"","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1","c1"
"1","0.70603","0.86132","0.92461","0.44349","1.00000","0.96318","1.00000","0.50000","0.50000","1.00000","1.00000","0.50000","0.18555","0.70518","0.25000","1.00000","0.50000","1.00000","0.18555","0.50000","0.99999","0.50000","0.96932","0.27563","0.97033","0.21631","0.97858","0.70964"
"2","1.00000","0.00000","0.29855","0.00104","1.00000","0.00331","0.00293","1.00000","1.00000","1.00000","1.00000","1.00000","0.50000","0.52236","0.08778","1.00000","1.00000","1.00000","0.17289","0.50000","0.17289","0.72365","0.00856","0.19959","0.56249","0.28134","0.91997","1.00000"
"3","1.00000","0.00000","0.00526","0.00000","1.00000","0.00005","0.00001","1.00000","1.00000","1.00000","1.00000","1.00000","0.36600","0.33794","0.53235","1.00000","1.00000","0.09072","0.01077","0.05017","0.98610","0.40461","0.06062","0.96768","0.80363","0.08065","0.92430","0.50000"
