"","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2"
"1","1.00000","1.00000","0.99999","0.99949","0.99949","0.99875","0.98291","0.89989","1.00000","1.00000","1.00000","1.00000","1.00000","0.99861","0.01834","1.00000","0.91775","0.89989","0.99964","0.69248","1.00000","1.00000","0.87395","0.92954","0.09086","0.72880","1.00000","1.00000","0.00230","0.99994","0.00369","1.00000","1.00000","0.98521","0.99954","1.00000","1.00000","1.00000","0.99979","1.00000","0.95990","0.95990","1.00000","0.99998","0.17626","0.99991","0.91352","0.92576","0.98626","0.99201","0.98725","0.99134","1.00000","1.00000","0.85639","0.85639"
"2","0.99846","0.38558","0.95213","0.99518","0.99949","0.99964","0.73754","0.87395","0.99998","1.00000","0.73754","0.96665","0.96451","0.88482","0.07424","0.78693","0.37550","0.13759","0.99996","0.83730","0.94930","0.15617","0.82374","0.62450","0.50000","0.24539","0.99942","0.70175","0.80035","0.92954","0.46840","0.36549","0.97421","0.95213","0.94930","0.71991","0.99984","0.18726","0.34576","0.99746","0.91352","0.42660","0.85639","0.09086","0.27120","0.81671","0.77108","0.28910","0.57340","0.48946","0.62450","0.77108","0.69248","0.18329","0.94930","0.99927"
"3","0.88482","0.92183","0.51054","0.20538","0.32642","0.86241","0.65424","0.43699","0.99474","0.99960","0.96869","0.71090","0.43699","0.37550","0.88482","0.66396","0.25385","0.18329","0.97892","0.83061","0.75461","0.51054","0.19049","0.99264","0.83730","0.72880","0.94325","0.12053","0.50000","0.36549","0.93681","0.86826","0.99899","0.23708","0.70175","0.47892","0.84383","0.98410","0.02413","0.14361","0.98166","0.76292","0.99201","0.18329","0.63451","0.26246","0.26246","0.73754","0.99559","0.58375","0.62450","0.19786","0.48946","0.89503","0.99899","0.20538"
