"","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2"
"1","0.00193","0.00193","0.00000","0.00000","0.00001","0.00001","0.00000","0.00000","0.00007","0.00007","0.01709","0.01709","0.00002","0.00002","0.02754","0.02108","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00001","0.00001","0.00001","0.00001","0.00000","0.00000","0.00000","0.00000","0.00866","0.01014","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.51774","0.51774","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.17626","0.17626","0.00441","0.00441","0.00000","0.00000"
"2","1.00000","1.00000","0.80951","0.81671","0.39574","0.39574","0.06682","0.06332","0.13344","0.50000","0.01095","0.01095","0.05997","0.05997","0.35558","0.35558","0.00125","0.00125","0.36549","0.36549","0.00441","0.00441","0.00489","0.00403","0.46840","0.46840","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00003","0.00003","0.00230","0.00230","0.10579","0.16045","0.00000","0.00000","0.00004","0.00004","0.00001","0.00001","0.12605","0.12605","0.06332","0.06332","0.00279","0.00279","0.00001","0.00001"
"3","0.93198","1.00000","0.78693","0.78693","0.94930","0.94930","0.07817","0.08648","0.99998","0.99999","0.43699","0.42660","0.22892","0.22892","0.70175","0.29825","0.09541","0.09541","0.74615","0.74615","0.00036","0.00036","0.13174","0.13174","0.03549","0.03549","0.00000","0.00000","0.00000","0.02413","0.03549","0.67358","0.00000","0.00000","0.00000","0.00000","0.00016","0.00016","0.12605","0.55257","0.79855","0.85913","0.00000","0.00000","0.00000","0.00011","0.00209","0.00209","0.12605","0.12605","0.06332","0.06332","0.00230","0.00230","0.99998","0.99998"
