"","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2"
"1","0.00000","0.00000","0.28910","1.00000","0.74615","0.72880","0.00006","0.71090","0.00000","0.00000","0.99988","0.99988","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","0.00937","0.00139","1.00000","0.99264","0.99999","0.99988","0.99991","0.99927","1.00000","0.00441","0.11518","0.12605","0.96665","0.96665","1.00000","0.00000","0.07424","0.05070","0.99875","0.13759","0.99998","0.99998","0.83061","0.83061","1.00000","0.00065","0.98291","0.98291","1.00000","1.00000","1.00000","1.00000","0.93318","0.68309","1.00000","1.00000","0.09086","0.09086"
"2","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.99984","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00001","0.00001","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00073","0.00073","0.00000","0.00000","0.00000","0.00000"
"3","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.98626","0.99474","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.15617","0.98166","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00004","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.77108","0.00000","0.00000","0.00000","0.00000","0.00000"
