"","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2"
"1","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","0.02413","1.00000","1.00000","0.99999","1.00000","0.05997","1.00000","1.00000","1.00000","1.00000","0.99989","1.00000","1.00000","1.00000","0.99631","1.00000","0.05070","1.00000","1.00000","0.92576","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","0.92954","0.92954","1.00000","1.00000","1.00000","1.00000","0.99935","0.99811","1.00000","1.00000","0.99201","0.99984","1.00000","1.00000","0.98166","0.98166"
"2","1.00000","0.82374","0.99996","0.99999","1.00000","1.00000","0.38558","0.58375","1.00000","1.00000","1.00000","1.00000","1.00000","0.99997","0.20538","0.99322","0.02579","0.82374","1.00000","0.99999","1.00000","0.62450","0.99972","0.55257","0.99998","0.50000","1.00000","0.88482","0.21602","0.98410","0.38558","0.32642","1.00000","0.76292","1.00000","0.68309","0.99999","0.96431","0.00065","0.99063","1.00000","0.98291","1.00000","0.17626","0.07046","0.48946","0.99995","0.99746","0.99597","0.80214","0.92183","0.95990","0.87395","0.92183","1.00000","1.00000"
"3","1.00000","0.72880","0.74615","0.73754","1.00000","1.00000","0.58375","0.10011","1.00000","1.00000","1.00000","0.98905","0.99134","0.98626","0.44743","0.57340","0.07424","0.38558","1.00000","0.99919","1.00000","0.48946","1.00000","0.98410","1.00000","0.38558","1.00000","0.89989","0.22892","0.19786","0.91708","0.46840","1.00000","0.02108","1.00000","0.07817","1.00000","0.99995","0.14981","0.19049","1.00000","0.99909","0.99986","0.18329","0.99770","0.79462","0.99909","0.78693","0.99899","0.69248","0.80214","0.38558","0.89503","0.99427","1.00000","0.94634"
