"","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2"
"1","0.67358","0.48946","0.38558","0.83061","0.30752","0.07817","0.05997","0.65424","0.93668","0.99887","0.90914","0.86826","0.89001","0.74615","0.14361","0.19786","0.24539","0.25385","0.72880","0.86826","0.41625","0.52108","0.36549","0.30752","0.25385","0.34576","1.00000","1.00000","0.00000","0.00526","0.00000","0.00799","0.99960","0.99322","0.00573","0.92954","0.83730","0.98166","0.10999","0.99949","0.68309","0.69248","0.77908","0.98291","0.00058","0.04516","0.58375","0.43699","0.61442","0.70175","0.37550","0.50000","0.99559","0.99694","0.37550","0.29825"
"2","0.05675","0.54210","0.10999","0.83730","0.99134","0.87395","0.77908","0.57340","0.76292","0.88482","0.55257","0.73754","0.75461","0.59403","0.78693","0.99993","0.25385","0.62450","0.93668","0.74615","0.98291","0.90914","0.72880","0.28910","0.13174","0.10497","0.85639","0.05997","0.58484","0.75461","0.80214","0.87639","0.78693","0.68309","0.74615","0.60426","0.84030","0.29522","0.79462","0.79462","0.36549","0.72880","0.72880","0.03774","0.10497","0.86826","0.41625","0.22892","0.33604","0.30752","0.14361","0.80951","0.33604","0.53160","0.89001","0.80951"
"3","0.66396","0.71991","0.13174","0.29825","0.15617","0.67358","0.18329","0.36549","0.02754","0.93318","0.94003","0.30752","0.69248","0.29825","0.88482","0.42660","0.47892","0.09086","0.92954","0.86241","0.28910","0.06682","0.26246","0.92954","0.34576","0.16270","0.99559","0.19786","0.31691","0.50000","0.88768","0.54210","0.47892","0.42660","0.05366","0.38558","0.71090","0.88482","0.04257","0.35558","0.65424","0.29825","0.10011","0.17626","0.88482","0.75461","0.55257","0.86826","0.93668","0.03335","0.75461","0.38558","0.60426","0.99474","0.89989","0.21307"
