"","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2"
"1","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.99811","0.99811","0.04516","0.14981","0.00000","0.00000","0.99322","0.48946","0.21307","0.05997","0.91775","0.74615","0.79462","0.00000","0.00014","0.00014","0.00000","0.00000","0.00024","0.00000","0.00001","0.00001","0.10497","0.00004","0.09086","0.06682","0.28009","0.28009","0.50000","0.00000","0.01590","0.01590","0.00526","0.00526","0.03549","0.04257","0.47892","0.26246","0.00073","0.00073","0.00036","0.00036"
"2","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00002","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.36549","0.97421","0.00000","0.00000","0.00000","0.00000","0.00000","0.26246","0.00000","0.07424","0.00000","0.05675","0.00000","0.00000","0.02413","0.01275","0.53160","0.84383","0.00000","0.64442","0.00000","0.14981","0.00001","0.00236","0.00000","0.14981","0.00000","0.00000","0.00000","0.00001","0.01374","0.19049","0.00000","0.00000","0.00000","0.00000","0.00000","0.00001","0.00000","0.00000","0.00000","0.00000"
"3","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00482","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.58375","0.62450","0.08648","0.03549","0.00000","0.00000","0.00000","0.00002","0.00000","0.06332","0.00000","0.03774","0.00000","0.00000","0.83061","0.00001","0.77908","0.54210","0.00000","0.96665","0.00000","0.89001","0.00000","0.00000","0.00000","0.00482","0.00000","0.00000","0.00000","0.00036","0.87395","0.08648","0.00000","0.00000","0.00000","0.00000","0.00209","0.00000","0.00000","0.00002","0.00000","0.00000"
