"","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2"
"1","1.00000","1.00000","0.30752","0.27120","0.94003","0.94003","0.20538","0.28009","1.00000","1.00000","0.99406","0.99342","0.13759","0.14981","0.06682","0.06682","0.59403","0.59403","0.50000","0.50000","0.09954","0.09168","0.01731","0.01789","0.72880","0.72880","0.00573","0.00573","0.00008","0.00008","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00482","0.00482","0.00623","0.00623","0.93410","0.90110","0.00306","0.00279","0.00014","0.00014","0.83730","0.83730","0.77108","0.71991","0.39303","0.35821","0.63451","0.52108","0.97525","0.97368"
"2","0.99919","0.99995","0.09086","0.19786","0.52108","0.72880","0.34576","0.19786","0.99063","0.80951","0.94930","0.92576","0.58375","0.89001","0.38558","0.22892","0.42660","0.44743","0.99694","0.99427","0.91352","0.99134","0.05366","0.52108","0.71991","0.55257","0.99811","0.67358","0.10497","0.08648","0.89001","0.61442","0.99960","0.91352","0.19786","0.51054","0.70478","0.68595","0.17626","0.23708","0.97587","0.97062","1.00000","0.98521","0.14361","0.42660","0.42660","0.36549","0.14981","0.19786","0.91352","0.55257","0.04787","0.05997","0.43699","0.17626"
"3","0.99134","0.88482","0.74615","0.07046","0.36549","0.50000","0.73754","0.71090","0.62450","0.87395","0.48946","0.53160","0.59403","0.40597","0.42660","0.86826","0.21307","0.97892","0.31691","0.10497","0.47892","0.77908","0.03131","0.40597","0.56301","0.25385","0.40597","0.44743","0.89989","0.10011","0.77108","0.16270","0.67358","0.46840","0.51054","0.22892","0.44743","0.97062","0.94634","0.23708","0.77108","0.87947","0.99972","0.98818","0.84383","0.73754","0.82374","0.89001","0.10999","0.26246","0.85639","0.81671","0.41625","0.02938","0.98291","0.94003"
