"","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2"
"1","0.00000","1.00000","0.00000","0.99954","0.36549","0.99942","0.00000","0.99998","0.00000","1.00000","0.00000","0.29194","0.64442","0.28564","1.00000","0.50000","0.00230","0.97725","0.89001","0.50000","0.23708","0.07446","0.00623","0.01844","0.21307","1.00000","1.00000","1.00000","0.15291","0.70518","0.50000","1.00000","1.00000","0.01844","0.00651","0.00238","0.99341","0.20492","0.80070","0.79653","0.00000","1.00000","1.00000","1.00000","0.00029","0.58395","0.99998","0.09072","0.00441","0.08678","0.80214","1.00000","0.00081","0.09072","0.00000","1.00000"
"2","0.00000","1.00000","0.00000","0.00024","1.00000","1.00000","0.00000","0.00000","0.00000","0.00018","0.00000","0.00001","1.00000","0.00403","1.00000","0.50000","1.00000","0.00009","0.00000","0.00298","0.99063","0.07446","0.00002","0.00735","0.00001","0.08678","1.00000","0.68132","1.00000","0.97295","1.00000","0.00039","0.00000","0.99796","0.00000","0.04767","0.00001","0.00001","0.00065","0.00001","0.00016","0.07605","1.00000","0.97725","1.00000","0.63592","0.00482","0.00013","1.00000","0.00001","0.00000","0.00001","0.99899","0.00016","0.00000","0.00983"
"3","0.00000","0.03593","0.00000","0.00000","1.00000","0.80214","0.00000","0.00000","0.00000","0.00027","0.00000","0.00000","0.13759","0.00000","1.00000","1.00000","1.00000","0.00001","0.00000","0.00000","0.00000","0.03593","0.00000","0.00023","0.00000","0.17224","1.00000","0.99999","1.00000","0.99134","1.00000","1.00000","0.00000","0.99996","0.00000","0.00003","0.00000","0.00000","0.00000","0.87395","0.00000","0.00016","1.00000","0.99999","1.00000","0.16939","0.00000","0.00002","1.00000","0.00014","1.00000","0.00000","0.99999","0.01014","0.00000","0.00001"
