"","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2"
"1","0.00000","0.00000","0.00000","0.00000","0.36549","0.89989","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.64442","0.50000","1.00000","1.00000","0.00230","0.01479","0.89001","0.13759","0.23708","1.00000","0.00623","0.76292","0.21307","0.99899","1.00000","1.00000","0.15291","1.00000","0.50000","1.00000","1.00000","1.00000","0.00651","0.82374","0.99341","1.00000","0.80070","1.00000","0.00000","0.00000","1.00000","1.00000","0.00029","1.00000","0.99998","0.99927","0.00441","0.01967","0.80214","0.97421","0.00081","0.00002","0.00000","0.00000"
"2","0.00000","0.00000","0.00000","0.00000","1.00000","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","0.00000","0.00000","0.99063","0.41625","0.00002","0.00006","0.00001","0.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","0.00000","0.00000","0.00000","0.00000","0.00001","0.00001","0.00065","0.85639","0.00016","0.00002","1.00000","1.00000","1.00000","1.00000","0.00482","0.00336","1.00000","1.00000","0.00000","0.00000","0.99899","0.89989","0.00000","0.00000"
"3","0.00000","0.00000","0.00000","0.00000","1.00000","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.13759","0.09541","1.00000","1.00000","1.00000","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","1.00000","1.00000","1.00000","1.00000","0.00000","0.00000","1.00000","1.00000","1.00000","1.00000","0.99999","1.00000","0.00000","0.00000"
