"","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2"
"1","1.00000","1.00000","0.00001","0.00000","0.05997","0.07817","0.00000","0.00000","1.00000","1.00000","0.00003","0.00001","0.81671","0.96226","1.00000","1.00000","0.00040","0.00002","0.03593","0.00983","0.50000","0.18555","0.00298","0.00298","0.00424","0.00133","0.50000","0.20711","0.21134","0.35273","0.50000","0.00002","0.02895","0.00054","0.01802","0.00009","0.08678","0.00442","0.06304","0.00014","0.00458","0.01113","0.96090","0.99975","0.17454","0.04552","0.18329","0.05366","0.95990","0.66396","0.90233","0.93127","0.82374","0.46840","0.00001","0.00001"
"2","0.00000","0.00000","0.00000","0.00000","0.69248","0.98905","0.00000","0.00000","0.00000","0.00000","0.00000","0.00001","0.99984","1.00000","1.00000","1.00000","1.00000","1.00000","0.00000","0.00000","1.00000","1.00000","0.99999","1.00000","0.99984","0.98521","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","0.00004","0.00113","0.99999","0.99999","0.96665","0.97062","0.00000","0.00000","1.00000","1.00000","1.00000","1.00000","0.00000","0.00003","0.99997","0.99846","0.00000","0.00000","0.00403","0.00040","0.00000","0.00000"
"3","0.00000","0.00000","0.00000","0.00000","1.00000","1.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.99994","1.00000","1.00000","1.00000","1.00000","1.00000","0.00000","0.00000","1.00000","1.00000","0.24539","0.79462","0.00101","0.00073","1.00000","1.00000","1.00000","1.00000","1.00000","1.00000","0.00623","0.00139","0.00000","0.00000","0.00000","0.00036","0.01590","0.00171","0.00000","0.00000","1.00000","1.00000","1.00000","1.00000","0.00000","0.00000","1.00000","1.00000","0.00678","0.00189","1.00000","0.96226","0.00000","0.00000"
