"","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2","c1","c2"
"1","0.50000","1.00000","0.99979","0.99954","0.90374","0.99942","0.98258","0.99998","0.98945","1.00000","0.99326","0.29194","0.98758","0.28564","0.50000","0.50000","0.01776","0.97725","0.07446","0.50000","1.00000","0.07446","0.18555","0.01844","0.01776","1.00000","0.50000","1.00000","0.01101","0.70518","0.02953","1.00000","0.09072","0.01844","0.02895","0.00238","0.47209","0.20492","0.50000","0.79653","0.50000","1.00000","0.50000","1.00000","0.05017","0.58395","0.00192","0.09072","0.01113","0.08678","0.79916","1.00000","0.05017","0.09072","0.50000","1.00000"
"2","1.00000","1.00000","0.00000","0.00024","0.99999","1.00000","0.20538","0.00000","0.00004","0.00018","0.00069","0.00001","0.00193","0.00403","1.00000","0.50000","0.01907","0.00009","0.00983","0.00298","0.50000","0.07446","0.07446","0.00735","0.50000","0.08678","0.04449","0.68132","0.29194","0.97295","1.00000","0.00039","0.50000","0.99796","0.08678","0.04767","0.01845","0.00001","0.10351","0.00001","0.00883","0.07605","1.00000","0.97725","0.34174","0.63592","0.00034","0.00013","0.00002","0.00001","0.00058","0.00001","0.00780","0.00016","0.00009","0.00983"
"3","0.50000","0.03593","0.00000","0.00000","0.99518","0.80214","0.00000","0.00000","0.00000","0.00027","0.00000","0.00000","0.00000","0.00000","1.00000","1.00000","0.00000","0.00001","0.00012","0.00000","0.01844","0.03593","0.20351","0.00023","0.08972","0.17224","0.50000","0.99999","0.99287","0.99134","1.00000","1.00000","0.68132","0.99996","0.02959","0.00003","0.00001","0.00000","0.85215","0.87395","0.00413","0.00016","0.50000","0.99999","0.78952","0.16939","0.00000","0.00002","0.00000","0.00014","0.00000","0.00000","0.00000","0.01014","0.00012","0.00001"
